Script,src/sh/generate_index
branch,master
hash,4f5fe119477fc67216446badd498ca3958745240
date,2016-02-17
STAR version,STAR_2.5.1b
genomeFastaFiles,data/genome/cr/Creinhardtii_281_v5.0.fa
sjdbGTFfile,data/genome/cr/Creinhardtii_281_v5.5.gene_exons.gffread.gtf
sjdbOverhang,99
